timestamp,temperature,vibration,pressure
2025-12-31 16:17:27.605538,58.95,1.03,106.15
2025-12-31 16:17:29.605538,46.33,0.67,91.05
2025-12-31 16:17:31.605538,47.32,0.66,108.21
2025-12-31 16:17:33.605538,51.99,0.53,108.83
2025-12-31 16:17:35.605538,52.29,0.92,107.46
2025-12-31 16:17:37.605538,57.56,2.13,107.72
2025-12-31 16:17:39.605538,44.3,0.56,105.34
2025-12-31 16:17:41.605538,59.3,1.24,109.5
2025-12-31 16:17:43.605538,61.32,2.18,111.68
2025-12-31 16:17:45.605538,33.27,0.3,99.51
2025-12-31 16:17:47.605538,35.8,0.55,100.62
2025-12-31 16:17:49.605538,32.72,0.75,91.57
2025-12-31 16:17:51.605538,53.82,1.35,91.62
2025-12-31 16:17:53.605538,57.55,2.97,106.33
2025-12-31 16:17:55.605538,41.7,2.57,107.31
2025-12-31 16:17:57.605538,51.91,0.5,101.98
2025-12-31 16:17:59.605538,63.32,1.34,98.78
2025-12-31 16:18:01.605538,44.01,0.81,109.51
2025-12-31 16:18:03.605538,33.04,0.56,101.63
2025-12-31 16:18:05.605538,59.54,2.16,108.86
2025-12-31 16:18:07.605538,43.17,0.26,109.03
2025-12-31 16:18:09.605538,38.62,0.83,108.88
2025-12-31 16:18:11.605538,42.66,0.6,100.35
2025-12-31 16:18:13.605538,43.66,1.1,101.46
2025-12-31 16:18:15.605538,36.63,2.18,103.54
2025-12-31 16:18:17.605538,38.71,0.67,108.83
2025-12-31 16:18:19.605538,63.98,2.96,104.57
2025-12-31 16:18:21.605538,58.45,0.75,88.0
2025-12-31 16:18:23.605538,49.84,0.35,106.57
2025-12-31 16:18:25.605538,50.07,0.38,108.64
2025-12-31 16:18:27.605538,57.2,0.28,106.4
2025-12-31 16:18:29.605538,50.48,1.12,105.5
2025-12-31 16:18:31.605538,39.71,1.13,123.89
2025-12-31 16:18:33.605538,62.89,0.24,106.16
2025-12-31 16:18:35.605538,53.08,1.22,105.68
2025-12-31 16:18:37.605538,39.4,1.21,104.68
2025-12-31 16:18:39.605538,55.85,1.42,106.84
2025-12-31 16:18:41.605538,49.41,2.84,105.05
2025-12-31 16:18:43.605538,87.86,1.4,111.08
2025-12-31 16:18:45.605538,31.94,0.63,121.23
2025-12-31 16:18:47.605538,40.66,0.88,101.9
2025-12-31 16:18:49.605538,62.47,0.37,108.2
2025-12-31 16:18:51.605538,62.32,2.23,109.59
2025-12-31 16:18:53.605538,40.75,0.83,101.14
2025-12-31 16:18:55.605538,81.38,0.35,106.58
2025-12-31 16:18:57.605538,63.06,2.33,105.55
2025-12-31 16:18:59.605538,58.91,0.37,93.01
2025-12-31 16:19:01.605538,63.64,1.23,104.46
2025-12-31 16:19:03.605538,34.7,1.01,102.72
2025-12-31 16:19:05.605538,78.01,0.99,109.79
2025-12-31 16:19:07.605538,57.96,0.32,104.07
